title,type,radar_notes,radar_peak,radar_scratch,radar_soflan,radar_charge,radar_chord,notes,radar_top
5.1.1.,N,12.01,40,5.3,0,0,2.23,99,PEAK
5.1.1.,H,55.49,54.28,11.07,0,0,15.23,511,NOTES
5.1.1.,A,85.36,77.14,115.97,0,0,66.95,786,SCRATCH
GRADIUSIC CYBER,N,42.19,41.42,7.65,26.55,0,4.43,442,NOTES
GRADIUSIC CYBER,H,48.49,58.57,7.65,28.47,0,5.09,508,PEAK
GRADIUSIC CYBER,A,58.13,54.28,15.99,31.02,0,10.81,609,NOTES
R3,N,39.2,37.14,16.44,0,0,6.25,330,NOTES
R3,H,43.71,41.42,18.17,0,0,10.17,368,NOTES
R3,A,53.88,55.71,25.07,0,0,15.3,454,PEAK
THE EARTH LIGHT,N,42.09,37.14,9.24,0,0,3.65,398,NOTES
THE EARTH LIGHT,H,56.05,52.85,9.24,0,0,11.33,530,NOTES
THE EARTH LIGHT,A,61.45,57.14,9.24,0,0,12.79,581,NOTES
GAMBOL,N,17.56,21.42,10.27,0,0,2.65,137,PEAK
GAMBOL,H,17.56,21.42,10.27,0,0,2.65,137,PEAK
GENOM SCREAMS,N,25.85,31.42,25,0,0,3.59,211,PEAK
GENOM SCREAMS,H,51.1,48.57,17.85,0,0,7.11,417,NOTES
GENOM SCREAMS,A,65.68,91.42,13.39,0,0,30.51,536,PEAK
22DUNK,N,34.99,38.57,9.62,0,0,4,265,PEAK
22DUNK,H,42.65,41.42,9.62,0,0,8,323,NOTES
22DUNK,A,43.71,54.28,23.23,0,0,12.47,329,PEAK
BRILLIANT 2U,N,31.06,41.42,6.7,0,0,4.4,270,PEAK
BRILLIANT 2U,H,37.97,55.71,8.38,0,0,11.27,330,PEAK
BRILLIANT 2U,A,41.65,57.14,11.73,0,0,14.94,362,PEAK
deep in you,N,30.64,35.71,8.03,0,0,1.2,250,PEAK
deep in you,H,31.25,35.71,12.5,0,0,1,255,PEAK
deep in you,A,40.81,47.14,27.68,0,0,7.31,333,PEAK
KEEP ON MOVIN',N,13.9,20,7.23,0,0,0.4,98,PEAK
KEEP ON MOVIN',H,17.31,27.14,6.2,0,0,1.4,122,PEAK
PARANOIA MAX～DIRTY MIX～,N,28.42,28.57,24.41,0,0,2,280,PEAK
PARANOIA MAX～DIRTY MIX～,H,38.17,45.71,25.15,0,0,13.47,376,PEAK
PARANOIA MAX～DIRTY MIX～,A,57.06,57.14,36.24,0,0,23.09,562,PEAK
.59,N,34.14,31.42,3.45,8.32,0,2.2,360,NOTES
.59,H,48.75,51.42,7.6,14.56,0,9.39,514,PEAK
.59,A,55.38,54.28,7.6,14.56,0,8.8,584,NOTES
Dancin' Into The Night,N,24.22,30,13.89,0,0,5.31,216,PEAK
Dancin' Into The Night,H,26.35,32.85,15.52,0,0,6.91,235,PEAK
I Was The One,N,27.77,32.85,2.23,0,0,0.8,272,PEAK
I Was The One,H,33.29,34.28,7.44,0,0,3.8,326,PEAK
I Was The One,A,35.53,57.14,7.44,0,0,5.8,348,PEAK
Hitch Hiker,N,34.1,31.42,21.89,0,0,4.8,329,NOTES
Hitch Hiker,H,42.91,41.42,24.91,0,0,11.91,414,NOTES
Hitch Hiker,A,48.61,51.42,24.91,0,0,17.11,469,PEAK
SP-TRIP MACHINE(for beatmania II),N,29.04,34.28,8.33,0,0,2.05,254,PEAK
SP-TRIP MACHINE(for beatmania II),H,35.79,48.57,8.33,0,0,12.79,313,PEAK
SP-TRIP MACHINE(for beatmania II),A,37.05,54.28,15.83,0,0,15.22,324,PEAK
PUT YOUR FAITH IN ME(for beatmania II),N,24.84,34.28,7.46,0,0,4.63,291,PEAK
PUT YOUR FAITH IN ME(for beatmania II),H,37.05,50,11.19,0,0,11.76,434,PEAK
CAN'T STOP FALLIN'IN LOVE,N,31.66,35.71,20.83,0,0,8.65,310,PEAK
CAN'T STOP FALLIN'IN LOVE,H,64.54,65.71,26.04,0,0,32.97,632,PEAK
Don't Stop!,N,34.71,34.28,8.45,0,0,15.77,389,NOTES
Don't Stop!,H,38.2,41.42,10.4,0,0,20.77,428,PEAK
Don't Stop!,A,40.43,42.85,11.05,0,0,25.58,453,PEAK
era (nostalmix),N,38.71,44.28,2.58,65.48,0,1.79,437,SOFLAN
era (nostalmix),H,49.17,71.42,10.97,91.28,0,14.17,555,SOFLAN
era (nostalmix),A,73.16,71.42,6.1,109.31,0,11.05,786,SOFLAN
Holic,N,44.96,38.57,26.54,0,0,9.25,395,NOTES
Holic,H,71.03,71.42,29.02,0,0,40.96,624,PEAK
Holic,A,100.18,119.73,29.02,0,0,57.26,880,PEAK
LEADING CYBER,N,42.54,48.57,9.99,0,0,1.45,434,PEAK
